"CODIGO_BARRA";"ORIGEM";"DESCRICAO";"MARCA";"ATRIBUTO";"UN MEDIDA";"CATEGORIA";"COD_GRUPO";"grupo";"BALANCA";"QTDE_ESTOQUE";"PRECO_CUSTO";"PRECO_VENDA";"NCM";"CEST";"CFTOP";"UN_TRIBUT";"CEAN_TRIBUT";"CST-ICMS";"ALICOTA_ICMS";"CST_PIS";"PPIS";"CST_COFINS";"PCOFINS";"DT_CADASTRO";"LOJA"
369;0;"ASA FRANGO C/COXINHA";"SEM DESCRIÇÃO";"RESFRIADO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;7;0;;0;;0;"2025/11/09";"MATRIZ"
10870;0;"ASA FRANGO";"CONGELADA";"SEM DESCRIÇÃO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;7;0;;0;;0;"2025/11/09";"MATRIZ"
11228;0;"BACON";"BLD";"SEM DESCRIÇÃO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;7;0;;0;;0;"2025/11/09";"MATRIZ"
789;0;"BACON";"CALEMBA";"DEFUMADO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
10733;0;"BACON DEFUMADO";"EXTEKETTA";"SEM DESCRIÇÃO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
12836;0;"BACON";"FRIGOSIL";"MANTA";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"C";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
3155;0;"BACON";"FRIGVAN";"DEFUMADO";"KG";"VACUO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
864;0;"BACON";"FRIWANDAL";"DEFUMADO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
12058;0;"BACON";"FRIWANDAL";"DEFUMADO";"KG";"MANTA";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
7320;0;"BACON";"SADIA";"PEDACOS";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
7382;0;"BIFE";"SEM DESCRIÇÃO";"FILE MIGNON";"KG";"TEMPERADO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
12195;0;"BISTECA PORCO";"AURORA";"SEM DESCRIÇÃO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
659;0;"BUCHO BOVINO";"SEM DESCRIÇÃO";"SEM DESCRIÇÃO";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
7893375010001;0;"BUCHO BOVINO";"VERDI";"BANDEJA";"KG";"SEM DESCRIÇÃO";180;"ACOUGUE 1";"B";0;0;0;;;;;;99;0;;0;;0;"2025/11/09";"MATRIZ"
